Reporting Area,Current MMWR Year,MMWR WEEK,Cumulative YTD Current MMWR Year,Weekly_Importation
Alabama,2024,37,,0
Alabama,2024,38,,0
Alabama,2024,39,,0
Alabama,2024,40,,0
Alabama,2024,41,,0
Alabama,2024,42,,0
Alabama,2024,43,,0
Alabama,2024,44,,0
Alabama,2024,45,,0
Alabama,2024,46,,0
Alabama,2024,47,,0
Alabama,2024,48,,0
Alabama,2024,49,,0
Alabama,2024,50,,0
Alabama,2024,51,,0
Alabama,2024,52,,0
Alabama,2025,1,,0
Alabama,2025,2,,0
Alabama,2025,3,,0
Alabama,2025,4,,0
Alabama,2025,5,,0
Alabama,2025,6,,0
Alabama,2025,7,,0
Alabama,2025,8,,0
Alabama,2025,9,,0
Alabama,2025,10,,0
Alabama,2025,11,,0
Alabama,2025,12,,0
Alabama,2025,13,,0
Alabama,2025,14,,0
Alabama,2025,15,,0
Alabama,2025,16,,0
Alabama,2025,17,,0
Alabama,2025,18,,0
Alabama,2025,19,,0
Alabama,2025,20,,0
Alabama,2025,21,,0
Alabama,2025,22,,0
Alabama,2025,23,,0
Alabama,2025,24,,0
Alabama,2025,25,,0
Alabama,2025,26,,0
Alabama,2025,27,,0
Alabama,2025,28,,0
Alabama,2025,29,,0
Alabama,2025,30,,0
Alabama,2025,31,,0
Alabama,2025,32,,0
Alabama,2025,33,,0
Alabama,2025,34,,0
Alabama,2025,35,,0
Alabama,2025,36,1,1
Alabama,2025,37,1,0
Alabama,2025,38,1,0
Alaska,2023,1,,0
Alaska,2023,2,,0
Alaska,2023,3,,0
Alaska,2023,4,,0
Alaska,2023,5,,0
Alaska,2023,6,,0
Alaska,2023,7,,0
Alaska,2023,8,,0
Alaska,2023,9,,0
Alaska,2023,10,,0
Alaska,2023,11,,0
Alaska,2023,13,,0
Alaska,2023,14,,0
Alaska,2023,15,,0
Alaska,2023,16,,0
Alaska,2023,17,,0
Alaska,2023,18,,0
Alaska,2023,19,,0
Alaska,2023,20,,0
Alaska,2023,21,,0
Alaska,2023,22,,0
Alaska,2023,23,,0
Alaska,2023,24,,0
Alaska,2023,25,,0
Alaska,2023,26,,0
Alaska,2023,27,,0
Alaska,2023,28,,0
Alaska,2023,29,,0
Alaska,2023,30,,0
Alaska,2023,31,,0
Alaska,2023,32,,0
Alaska,2023,33,,0
Alaska,2023,34,,0
Alaska,2023,35,,0
Alaska,2023,36,,0
Alaska,2023,37,,0
Alaska,2023,38,,0
Alaska,2023,39,,0
Alaska,2023,40,,0
Alaska,2023,41,,0
Alaska,2023,42,,0
Alaska,2023,43,,0
Alaska,2023,44,,0
Alaska,2023,45,,0
Alaska,2023,46,,0
Alaska,2023,47,,0
Alaska,2023,48,,0
Alaska,2023,49,,0
Alaska,2023,50,,0
Alaska,2023,51,,0
Alaska,2023,52,,0
Alaska,2024,1,,0
Alaska,2024,2,,0
Alaska,2024,3,,0
Alaska,2024,4,,0
Alaska,2024,5,,0
Alaska,2024,6,,0
Alaska,2024,7,,0
Alaska,2024,8,,0
Alaska,2024,9,,0
Alaska,2024,10,,0
Alaska,2024,11,,0
Alaska,2024,12,,0
Alaska,2024,13,,0
Alaska,2024,14,,0
Alaska,2024,15,,0
Alaska,2024,16,,0
Alaska,2024,17,,0
Alaska,2024,18,,0
Alaska,2024,19,,0
Alaska,2024,20,,0
Alaska,2024,21,,0
Alaska,2024,22,,0
Alaska,2024,23,,0
Alaska,2024,24,,0
Alaska,2024,25,,0
Alaska,2024,26,,0
Alaska,2024,27,,0
Alaska,2024,28,,0
Alaska,2024,29,,0
Alaska,2024,30,,0
Alaska,2024,31,,0
Alaska,2024,32,,0
Alaska,2024,33,,0
Alaska,2024,34,,0
Alaska,2024,35,,0
Alaska,2024,36,,0
Alaska,2024,37,,0
Alaska,2024,38,,0
Alaska,2024,39,,0
Alaska,2024,40,,0
Alaska,2024,41,,0
Alaska,2024,42,,0
Alaska,2024,43,,0
Alaska,2024,44,,0
Alaska,2024,45,,0
Alaska,2024,46,,0
Alaska,2024,47,,0
Alaska,2024,48,,0
Alaska,2024,49,,0
Alaska,2024,50,,0
Alaska,2024,51,,0
Alaska,2024,52,,0
Alaska,2025,1,,0
Alaska,2025,2,,0
Alaska,2025,3,1,1
Alaska,2025,4,1,0
Alaska,2025,5,2,1
Alaska,2025,6,2,0
Alaska,2025,7,2,0
Alaska,2025,8,2,0
Alaska,2025,9,2,0
Alaska,2025,10,2,0
Alaska,2025,11,2,0
Alaska,2025,12,2,0
Alaska,2025,13,2,0
Alaska,2025,14,2,0
Alaska,2025,15,2,0
Alaska,2025,16,2,0
Alaska,2025,17,2,0
Alaska,2025,18,2,0
Alaska,2025,19,2,0
Alaska,2025,20,2,0
Alaska,2025,21,2,0
Alaska,2025,22,2,0
Alaska,2025,23,2,0
Alaska,2025,24,2,0
Alaska,2025,25,2,0
Alaska,2025,26,2,0
Alaska,2025,27,2,0
Alaska,2025,28,2,0
Alaska,2025,29,2,0
Alaska,2025,30,2,0
Alaska,2025,31,2,0
Alaska,2025,32,2,0
Alaska,2025,33,2,0
Alaska,2025,34,2,0
Alaska,2025,35,2,0
Alaska,2025,36,2,0
Alaska,2025,37,2,0
Alaska,2025,38,2,0
Arizona,2023,1,,0
Arizona,2023,2,,0
Arizona,2023,3,,0
Arizona,2023,4,,0
Arizona,2023,5,,0
Arizona,2023,6,,0
Arizona,2023,7,,0
Arizona,2023,8,,0
Arizona,2023,9,,0
Arizona,2023,10,,0
Arizona,2023,11,,0
Arizona,2023,13,,0
Arizona,2023,14,,0
Arizona,2023,15,,0
Arizona,2023,16,,0
Arizona,2023,17,,0
Arizona,2023,18,,0
Arizona,2023,19,,0
Arizona,2023,20,,0
Arizona,2023,21,,0
Arizona,2023,22,,0
Arizona,2023,23,,0
Arizona,2023,24,,0
Arizona,2023,25,,0
Arizona,2023,26,,0
Arizona,2023,27,,0
Arizona,2023,28,,0
Arizona,2023,29,,0
Arizona,2023,30,,0
Arizona,2023,31,,0
Arizona,2023,32,,0
Arizona,2023,33,,0
Arizona,2023,34,,0
Arizona,2023,35,,0
Arizona,2023,36,,0
Arizona,2023,37,,0
Arizona,2023,38,,0
Arizona,2023,39,,0
Arizona,2023,40,,0
Arizona,2023,41,,0
Arizona,2023,42,,0
Arizona,2023,43,,0
Arizona,2023,44,,0
Arizona,2023,45,,0
Arizona,2023,46,,0
Arizona,2023,47,,0
Arizona,2023,48,,0
Arizona,2023,49,,0
Arizona,2023,50,,0
Arizona,2023,51,,0
Arizona,2023,52,,0
Arizona,2024,1,,0
Arizona,2024,2,,0
Arizona,2024,3,,0
Arizona,2024,4,,0
Arizona,2024,5,,0
Arizona,2024,6,,0
Arizona,2024,7,,0
Arizona,2024,8,,0
Arizona,2024,9,,0
Arizona,2024,10,,0
Arizona,2024,11,,0
Arizona,2024,12,,0
Arizona,2024,13,,0
Arizona,2024,14,,0
Arizona,2024,15,,0
Arizona,2024,16,,0
Arizona,2024,17,,0
Arizona,2024,18,,0
Arizona,2024,19,,0
Arizona,2024,20,,0
Arizona,2024,21,,0
Arizona,2024,22,1,1
Arizona,2024,23,1,0
Arizona,2024,24,1,0
Arizona,2024,25,1,0
Arizona,2024,26,1,0
Arizona,2024,27,1,0
Arizona,2024,28,1,0
Arizona,2024,29,1,0
Arizona,2024,30,1,0
Arizona,2024,31,1,0
Arizona,2024,32,1,0
Arizona,2024,33,1,0
Arizona,2024,34,1,0
Arizona,2024,35,1,0
Arizona,2024,36,1,0
Arizona,2024,37,1,0
Arizona,2024,38,1,0
Arizona,2024,39,1,0
Arizona,2024,40,1,0
Arizona,2024,41,1,0
Arizona,2024,42,1,0
Arizona,2024,43,1,0
Arizona,2024,44,1,0
Arizona,2024,45,1,0
Arizona,2024,46,1,0
Arizona,2024,47,1,0
Arizona,2024,48,1,0
Arizona,2024,49,1,0
Arizona,2024,50,1,0
Arizona,2024,51,1,0
Arizona,2024,52,1,0
Arizona,2025,1,,0
Arizona,2025,2,,0
Arizona,2025,3,,0
Arizona,2025,4,,0
Arizona,2025,5,,0
Arizona,2025,6,,0
Arizona,2025,7,,0
Arizona,2025,8,,0
Arizona,2025,9,,0
Arizona,2025,10,,0
Arizona,2025,11,,0
Arizona,2025,12,,0
Arizona,2025,13,,0
Arizona,2025,14,,0
Arizona,2025,15,,0
Arizona,2025,16,,0
Arizona,2025,17,,0
Arizona,2025,18,,0
Arizona,2025,19,,0
Arizona,2025,20,,0
Arizona,2025,21,,0
Arizona,2025,22,,0
Arizona,2025,23,1,1
Arizona,2025,24,4,3
Arizona,2025,25,4,0
Arizona,2025,26,4,0
Arizona,2025,27,4,0
Arizona,2025,28,4,0
Arizona,2025,29,4,0
Arizona,2025,30,4,0
Arizona,2025,31,4,0
Arizona,2025,32,4,0
Arizona,2025,33,4,0
Arizona,2025,34,4,0
Arizona,2025,35,4,0
Arizona,2025,36,4,0
Arizona,2025,37,4,0
Arizona,2025,38,4,0
Arkansas,2023,1,,0
Arkansas,2023,2,,0
Arkansas,2023,3,,0
Arkansas,2023,4,,0
Arkansas,2023,5,,0
Arkansas,2023,6,,0
Arkansas,2023,7,,0
Arkansas,2023,8,,0
Arkansas,2023,9,,0
Arkansas,2023,10,,0
Arkansas,2023,11,,0
Arkansas,2023,13,,0
Arkansas,2023,14,,0
Arkansas,2023,15,,0
Arkansas,2023,16,,0
Arkansas,2023,17,,0
Arkansas,2023,18,,0
Arkansas,2023,19,,0
Arkansas,2023,20,,0
Arkansas,2023,21,,0
Arkansas,2023,22,,0
Arkansas,2023,23,,0
Arkansas,2023,24,,0
Arkansas,2023,25,,0
Arkansas,2023,26,,0
Arkansas,2023,27,,0
Arkansas,2023,28,,0
Arkansas,2023,29,,0
Arkansas,2023,30,,0
Arkansas,2023,31,,0
Arkansas,2023,32,,0
Arkansas,2023,33,,0
Arkansas,2023,34,,0
Arkansas,2023,35,,0
Arkansas,2023,36,,0
Arkansas,2023,37,,0
Arkansas,2023,38,,0
Arkansas,2023,39,,0
Arkansas,2023,40,,0
Arkansas,2023,41,,0
Arkansas,2023,42,,0
Arkansas,2023,43,,0
Arkansas,2023,44,,0
Arkansas,2023,45,,0
Arkansas,2023,46,,0
Arkansas,2023,47,,0
Arkansas,2023,48,,0
Arkansas,2023,49,,0
Arkansas,2023,50,,0
Arkansas,2023,51,,0
Arkansas,2023,52,,0
Arkansas,2024,1,,0
Arkansas,2024,2,,0
Arkansas,2024,3,,0
Arkansas,2024,4,,0
Arkansas,2024,5,,0
Arkansas,2024,6,,0
Arkansas,2024,7,,0
Arkansas,2024,8,,0
Arkansas,2024,9,,0
Arkansas,2024,10,,0
Arkansas,2024,11,,0
Arkansas,2024,12,,0
Arkansas,2024,13,,0
Arkansas,2024,14,,0
Arkansas,2024,15,,0
Arkansas,2024,16,,0
Arkansas,2024,17,,0
Arkansas,2024,18,,0
Arkansas,2024,19,,0
Arkansas,2024,20,,0
Arkansas,2024,21,,0
Arkansas,2024,22,,0
Arkansas,2024,23,,0
Arkansas,2024,24,,0
Arkansas,2024,25,,0
Arkansas,2024,26,,0
Arkansas,2024,27,,0
Arkansas,2024,28,,0
Arkansas,2024,29,,0
Arkansas,2024,30,,0
Arkansas,2024,31,,0
Arkansas,2024,32,,0
Arkansas,2024,33,,0
Arkansas,2024,34,,0
Arkansas,2024,35,,0
Arkansas,2024,36,,0
Arkansas,2024,37,,0
Arkansas,2024,38,,0
Arkansas,2024,39,,0
Arkansas,2024,40,,0
Arkansas,2024,41,,0
Arkansas,2024,42,,0
Arkansas,2024,43,,0
Arkansas,2024,44,,0
Arkansas,2024,45,,0
Arkansas,2024,46,,0
Arkansas,2024,47,,0
Arkansas,2024,48,,0
Arkansas,2024,49,,0
Arkansas,2024,50,,0
Arkansas,2024,51,,0
Arkansas,2024,52,,0
Arkansas,2025,1,,0
Arkansas,2025,2,,0
Arkansas,2025,3,,0
Arkansas,2025,4,,0
Arkansas,2025,5,,0
Arkansas,2025,6,,0
Arkansas,2025,7,,0
Arkansas,2025,8,,0
Arkansas,2025,9,,0
Arkansas,2025,10,,0
Arkansas,2025,11,,0
Arkansas,2025,12,,0
Arkansas,2025,13,,0
Arkansas,2025,14,,0
Arkansas,2025,15,,0
Arkansas,2025,16,,0
Arkansas,2025,17,,0
Arkansas,2025,18,,0
Arkansas,2025,19,,0
Arkansas,2025,20,,0
Arkansas,2025,21,,0
Arkansas,2025,22,,0
Arkansas,2025,23,,0
Arkansas,2025,24,,0
Arkansas,2025,25,,0
Arkansas,2025,26,,0
Arkansas,2025,27,,0
Arkansas,2025,28,,0
Arkansas,2025,29,,0
Arkansas,2025,30,,0
Arkansas,2025,31,,0
Arkansas,2025,32,,0
Arkansas,2025,33,,0
Arkansas,2025,34,,0
Arkansas,2025,35,,0
Arkansas,2025,36,,0
Arkansas,2025,37,,0
Arkansas,2025,38,,0
California,2023,1,,0
California,2023,2,,0
California,2023,3,,0
California,2023,4,,0
California,2023,5,,0
California,2023,6,,0
California,2023,7,,0
California,2023,8,,0
California,2023,9,,0
California,2023,10,,0
California,2023,11,,0
California,2023,13,,0
California,2023,14,,0
California,2023,15,,0
California,2023,16,,0
California,2023,17,,0
California,2023,18,,0
California,2023,19,,0
California,2023,20,,0
California,2023,21,,0
California,2023,22,,0
California,2023,23,1,1
California,2023,24,1,0
California,2023,25,1,0
California,2023,26,1,0
California,2023,27,1,0
California,2023,28,1,0
California,2023,29,1,0
California,2023,30,1,0
California,2023,31,1,0
California,2023,32,1,0
California,2023,33,1,0
California,2023,34,1,0
California,2023,35,1,0
California,2023,36,1,0
California,2023,37,1,0
California,2023,38,1,0
California,2023,39,1,0
California,2023,40,1,0
California,2023,41,1,0
California,2023,42,1,0
California,2023,43,1,0
California,2023,44,1,0
California,2023,45,1,0
California,2023,46,1,0
California,2023,47,1,0
California,2023,48,1,0
California,2023,49,1,0
California,2023,50,1,0
California,2023,51,1,0
California,2023,52,1,0
California,2024,1,,0
California,2024,2,,0
California,2024,3,,0
California,2024,4,,0
California,2024,5,,0
California,2024,6,,0
California,2024,7,,0
California,2024,8,,0
California,2024,9,,0
California,2024,10,,0
California,2024,11,1,1
California,2024,12,1,0
California,2024,13,1,0
California,2024,14,1,0
California,2024,15,1,0
California,2024,16,1,0
California,2024,17,1,0
California,2024,18,,0
California,2024,19,1,1
California,2024,20,1,0
California,2024,21,1,0
California,2024,22,2,1
California,2024,23,2,0
California,2024,24,3,1
California,2024,25,4,1
California,2024,26,4,0
California,2024,27,4,0
California,2024,28,3,0
California,2024,29,3,0
California,2024,30,3,0
California,2024,31,3,0
California,2024,32,4,1
California,2024,33,5,1
California,2024,34,5,0
California,2024,35,6,1
California,2024,36,6,0
California,2024,37,6,0
California,2024,38,6,0
California,2024,39,6,0
California,2024,40,6,0
California,2024,41,6,0
California,2024,42,6,0
California,2024,43,6,0
California,2024,44,6,0
California,2024,45,6,0
California,2024,46,6,0
California,2024,47,6,0
California,2024,48,6,0
California,2024,49,6,0
California,2024,50,6,0
California,2024,51,6,0
California,2024,52,6,0
California,2025,1,,0
California,2025,2,,0
California,2025,3,,0
California,2025,4,,0
California,2025,5,,0
California,2025,6,,0
California,2025,7,1,1
California,2025,8,2,1
California,2025,9,2,0
California,2025,10,2,0
California,2025,11,2,0
California,2025,12,2,0
California,2025,13,2,0
California,2025,14,3,1
California,2025,15,3,0
California,2025,16,3,0
California,2025,17,3,0
California,2025,18,3,0
California,2025,19,3,0
California,2025,20,3,0
California,2025,21,3,0
California,2025,22,3,0
California,2025,23,3,0
California,2025,24,3,0
California,2025,25,3,0
California,2025,26,3,0
California,2025,27,3,0
California,2025,28,3,0
California,2025,29,3,0
California,2025,30,3,0
California,2025,31,3,0
California,2025,32,3,0
California,2025,33,3,0
California,2025,34,3,0
California,2025,35,15,12
California,2025,36,15,0
California,2025,37,15,0
California,2025,38,15,0
Colorado,2023,1,,0
Colorado,2023,2,,0
Colorado,2023,3,,0
Colorado,2023,4,,0
Colorado,2023,5,,0
Colorado,2023,6,,0
Colorado,2023,7,,0
Colorado,2023,8,,0
Colorado,2023,9,,0
Colorado,2023,10,,0
Colorado,2023,11,,0
Colorado,2023,13,,0
Colorado,2023,14,,0
Colorado,2023,15,,0
Colorado,2023,16,,0
Colorado,2023,17,,0
Colorado,2023,18,,0
Colorado,2023,19,,0
Colorado,2023,20,,0
Colorado,2023,21,,0
Colorado,2023,22,,0
Colorado,2023,23,,0
Colorado,2023,24,,0
Colorado,2023,25,,0
Colorado,2023,26,,0
Colorado,2023,27,,0
Colorado,2023,28,,0
Colorado,2023,29,,0
Colorado,2023,30,,0
Colorado,2023,31,,0
Colorado,2023,32,,0
Colorado,2023,33,,0
Colorado,2023,34,,0
Colorado,2023,35,,0
Colorado,2023,36,,0
Colorado,2023,37,,0
Colorado,2023,38,,0
Colorado,2023,39,,0
Colorado,2023,40,,0
Colorado,2023,41,,0
Colorado,2023,42,,0
Colorado,2023,43,,0
Colorado,2023,44,,0
Colorado,2023,45,,0
Colorado,2023,46,,0
Colorado,2023,47,,0
Colorado,2023,48,,0
Colorado,2023,49,,0
Colorado,2023,50,,0
Colorado,2023,51,,0
Colorado,2023,52,,0
Colorado,2024,1,,0
Colorado,2024,2,,0
Colorado,2024,3,,0
Colorado,2024,4,,0
Colorado,2024,5,,0
Colorado,2024,6,,0
Colorado,2024,7,,0
Colorado,2024,8,,0
Colorado,2024,9,,0
Colorado,2024,10,,0
Colorado,2024,11,,0
Colorado,2024,12,,0
Colorado,2024,13,,0
Colorado,2024,14,,0
Colorado,2024,15,,0
Colorado,2024,16,,0
Colorado,2024,17,,0
Colorado,2024,18,,0
Colorado,2024,19,,0
Colorado,2024,20,,0
Colorado,2024,21,,0
Colorado,2024,22,,0
Colorado,2024,23,,0
Colorado,2024,24,,0
Colorado,2024,25,,0
Colorado,2024,26,,0
Colorado,2024,27,,0
Colorado,2024,28,,0
Colorado,2024,29,,0
Colorado,2024,30,,0
Colorado,2024,31,,0
Colorado,2024,32,,0
Colorado,2024,33,,0
Colorado,2024,34,,0
Colorado,2024,35,,0
Colorado,2024,36,,0
Colorado,2024,37,,0
Colorado,2024,38,,0
Colorado,2024,39,,0
Colorado,2024,40,,0
Colorado,2024,41,,0
Colorado,2024,42,,0
Colorado,2024,43,,0
Colorado,2024,44,,0
Colorado,2024,45,,0
Colorado,2024,46,,0
Colorado,2024,47,,0
Colorado,2024,48,,0
Colorado,2024,49,,0
Colorado,2024,50,,0
Colorado,2024,51,,0
Colorado,2024,52,,0
Colorado,2025,1,,0
Colorado,2025,2,,0
Colorado,2025,3,,0
Colorado,2025,4,,0
Colorado,2025,5,,0
Colorado,2025,6,,0
Colorado,2025,7,,0
Colorado,2025,8,,0
Colorado,2025,9,,0
Colorado,2025,10,,0
Colorado,2025,11,,0
Colorado,2025,12,,0
Colorado,2025,13,,0
Colorado,2025,14,,0
Colorado,2025,15,,0
Colorado,2025,16,,0
Colorado,2025,17,,0
Colorado,2025,18,,0
Colorado,2025,19,,0
Colorado,2025,20,,0
Colorado,2025,21,,0
Colorado,2025,22,,0
Colorado,2025,23,,0
Colorado,2025,24,,0
Colorado,2025,25,,0
Colorado,2025,26,,0
Colorado,2025,27,,0
Colorado,2025,28,,0
Colorado,2025,29,,0
Colorado,2025,30,,0
Colorado,2025,31,,0
Colorado,2025,32,,0
Colorado,2025,33,,0
Colorado,2025,34,,0
Colorado,2025,35,,0
Colorado,2025,36,,0
Colorado,2025,37,,0
Colorado,2025,38,,0
Connecticut,2023,1,,0
Connecticut,2023,2,,0
Connecticut,2023,3,,0
Connecticut,2023,4,,0
Connecticut,2023,5,,0
Connecticut,2023,6,,0
Connecticut,2023,7,,0
Connecticut,2023,8,,0
Connecticut,2023,9,,0
Connecticut,2023,10,,0
Connecticut,2023,11,,0
Connecticut,2023,13,,0
Connecticut,2023,14,,0
Connecticut,2023,15,,0
Connecticut,2023,16,,0
Connecticut,2023,17,,0
Connecticut,2023,18,,0
Connecticut,2023,19,,0
Connecticut,2023,20,,0
Connecticut,2023,21,,0
Connecticut,2023,22,,0
Connecticut,2023,23,,0
Connecticut,2023,24,,0
Connecticut,2023,25,,0
Connecticut,2023,26,,0
Connecticut,2023,27,,0
Connecticut,2023,28,,0
Connecticut,2023,29,,0
Connecticut,2023,30,,0
Connecticut,2023,31,,0
Connecticut,2023,32,,0
Connecticut,2023,33,,0
Connecticut,2023,34,,0
Connecticut,2023,35,,0
Connecticut,2023,36,,0
Connecticut,2023,37,,0
Connecticut,2023,38,,0
Connecticut,2023,39,,0
Connecticut,2023,40,,0
Connecticut,2023,41,,0
Connecticut,2023,42,,0
Connecticut,2023,43,,0
Connecticut,2023,44,,0
Connecticut,2023,45,,0
Connecticut,2023,46,,0
Connecticut,2023,47,,0
Connecticut,2023,48,,0
Connecticut,2023,49,,0
Connecticut,2023,50,,0
Connecticut,2023,51,,0
Connecticut,2023,52,,0
Connecticut,2024,1,,0
Connecticut,2024,2,,0
Connecticut,2024,3,,0
Connecticut,2024,4,,0
Connecticut,2024,5,,0
Connecticut,2024,6,,0
Connecticut,2024,7,,0
Connecticut,2024,8,,0
Connecticut,2024,9,,0
Connecticut,2024,10,,0
Connecticut,2024,11,,0
Connecticut,2024,12,,0
Connecticut,2024,13,,0
Connecticut,2024,14,,0
Connecticut,2024,15,,0
Connecticut,2024,16,,0
Connecticut,2024,17,,0
Connecticut,2024,18,,0
Connecticut,2024,19,,0
Connecticut,2024,20,,0
Connecticut,2024,21,,0
Connecticut,2024,22,,0
Connecticut,2024,23,,0
Connecticut,2024,24,,0
Connecticut,2024,25,,0
Connecticut,2024,26,,0
Connecticut,2024,27,,0
Connecticut,2024,28,,0
Connecticut,2024,29,,0
Connecticut,2024,30,,0
Connecticut,2024,31,,0
Connecticut,2024,32,,0
Connecticut,2024,33,,0
Connecticut,2024,34,,0
Connecticut,2024,35,,0
Connecticut,2024,36,,0
Connecticut,2024,37,,0
Connecticut,2024,38,,0
Connecticut,2024,39,,0
Connecticut,2024,40,,0
Connecticut,2024,41,,0
Connecticut,2024,42,,0
Connecticut,2024,43,,0
Connecticut,2024,44,,0
Connecticut,2024,45,,0
Connecticut,2024,46,,0
Connecticut,2024,47,,0
Connecticut,2024,48,,0
Connecticut,2024,49,,0
Connecticut,2024,50,,0
Connecticut,2024,51,,0
Connecticut,2024,52,,0
Connecticut,2025,1,,0
Connecticut,2025,2,,0
Connecticut,2025,3,,0
Connecticut,2025,4,,0
Connecticut,2025,5,,0
Connecticut,2025,6,,0
Connecticut,2025,7,,0
Connecticut,2025,8,,0
Connecticut,2025,9,,0
Connecticut,2025,10,,0
Connecticut,2025,11,,0
Connecticut,2025,12,,0
Connecticut,2025,13,,0
Connecticut,2025,14,,0
Connecticut,2025,15,,0
Connecticut,2025,16,,0
Connecticut,2025,17,,0
Connecticut,2025,18,,0
Connecticut,2025,19,,0
Connecticut,2025,20,,0
Connecticut,2025,21,,0
Connecticut,2025,22,,0
Connecticut,2025,23,,0
Connecticut,2025,24,,0
Connecticut,2025,25,,0
Connecticut,2025,26,,0
Connecticut,2025,27,,0
Connecticut,2025,28,,0
Connecticut,2025,29,,0
Connecticut,2025,30,,0
Connecticut,2025,31,,0
Connecticut,2025,32,,0
Connecticut,2025,33,,0
Connecticut,2025,34,,0
Connecticut,2025,35,,0
Connecticut,2025,36,,0
Connecticut,2025,37,,0
Connecticut,2025,38,,0
Delaware,2023,1,,0
Delaware,2023,2,,0
Delaware,2023,3,,0
Delaware,2023,4,,0
Delaware,2023,5,,0
Delaware,2023,6,,0
Delaware,2023,7,,0
Delaware,2023,8,,0
Delaware,2023,9,,0
Delaware,2023,10,,0
Delaware,2023,11,,0
Delaware,2023,13,,0
Delaware,2023,14,,0
Delaware,2023,15,,0
Delaware,2023,16,,0
Delaware,2023,17,,0
Delaware,2023,18,,0
Delaware,2023,19,,0
Delaware,2023,20,,0
Delaware,2023,21,,0
Delaware,2023,22,,0
Delaware,2023,23,,0
Delaware,2023,24,,0
Delaware,2023,25,,0
Delaware,2023,26,,0
Delaware,2023,27,,0
Delaware,2023,28,,0
Delaware,2023,29,,0
Delaware,2023,30,,0
Delaware,2023,31,,0
Delaware,2023,32,,0
Delaware,2023,33,,0
Delaware,2023,34,,0
Delaware,2023,35,,0
Delaware,2023,36,,0
Delaware,2023,37,,0
Delaware,2023,38,,0
Delaware,2023,39,,0
Delaware,2023,40,,0
Delaware,2023,41,,0
Delaware,2023,42,,0
Delaware,2023,43,,0
Delaware,2023,44,,0
Delaware,2023,45,,0
Delaware,2023,46,,0
Delaware,2023,47,,0
Delaware,2023,48,,0
Delaware,2023,49,,0
Delaware,2023,50,,0
Delaware,2023,51,,0
Delaware,2023,52,,0
Delaware,2024,1,,0
Delaware,2024,2,,0
Delaware,2024,3,,0
Delaware,2024,4,,0
Delaware,2024,5,,0
Delaware,2024,6,,0
Delaware,2024,7,,0
Delaware,2024,8,,0
Delaware,2024,9,,0
Delaware,2024,10,,0
Delaware,2024,11,,0
Delaware,2024,12,,0
Delaware,2024,13,,0
Delaware,2024,14,,0
Delaware,2024,15,,0
Delaware,2024,16,,0
Delaware,2024,17,,0
Delaware,2024,18,,0
Delaware,2024,19,,0
Delaware,2024,20,,0
Delaware,2024,21,,0
Delaware,2024,22,,0
Delaware,2024,23,,0
Delaware,2024,24,,0
Delaware,2024,25,,0
Delaware,2024,26,,0
Delaware,2024,27,,0
